Date,AAPL,ABT,AMGN,AMZN,AXP,BA,BAC,C,CAT,COST,CSCO,CVX,DE,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LOW,MCD,MMM,MRK,MS,MSFT,NKE,NVDA,ORCL,PEP,PFE,PG,QCOM,SBUX,UNH,UNP,USB,WFC,WMT,XOM
2016-06-27,20.952877044677734,30.639028549194336,107.30164337158203,34.56800079345703,50.142215728759766,111.96566009521484,9.747401237487793,28.525354385375977,56.87779998779297,130.17105102539062,20.186279296875,65.70690155029297,68.53919982910156,33.75766372680664,113.5569076538086,97.906494140625,69.71858215332031,90.33029174804688,24.70370101928711,88.6481704711914,44.153324127197266,32.040382385253906,63.37926483154297,91.3992691040039,100.94393157958984,38.83476257324219,17.795719146728516,42.81834030151367,45.21635818481445,1.1090641021728516,33.13666915893555,75.19261932373047,20.544559478759766,61.83916091918945,38.92506790161133,43.37692642211914,116.25421905517578,66.14665985107422,26.831829071044922,34.100059509277344,20.07819938659668,57.57143783569336
2016-06-28,21.305727005004883,31.144855499267578,110.15149688720703,35.397499084472656,50.342193603515625,113.05156707763672,10.163546562194824,29.978309631347656,57.786197662353516,131.30178833007812,20.54107093811035,66.53834533691406,69.73892974853516,34.25921630859375,115.91744232177734,100.15254211425781,71.3448715209961,91.7151107788086,25.081653594970703,89.92599487304688,45.61716842651367,32.3331184387207,64.79931640625,93.12823486328125,102.39298248291016,39.02432632446289,18.54945182800293,43.711299896240234,46.26203536987305,1.125244140625,33.6964111328125,75.19998168945312,20.933576583862305,62.77552795410156,39.967830657958984,44.3140983581543,117.61082458496094,67.99897766113281,27.282100677490234,34.925872802734375,20.081010818481445,58.89961624145508
2016-06-29,21.49012565612793,31.98235321044922,111.39837646484375,35.779998779296875,52.10736083984375,115.88035583496094,10.555682182312012,31.223691940307617,59.148780822753906,132.55064392089844,20.888471603393555,67.71029663085938,69.85034942626953,34.45398712158203,118.43260192871094,100.0268783569336,71.5950698852539,93.4524917602539,25.676727294921875,90.7626953125,46.904747009277344,32.52337646484375,64.5750732421875,93.9062728881836,103.55825805664062,40.05646514892578,19.016767501831055,44.683860778808594,48.03965759277344,1.1436302661895752,34.91923141479492,75.92147827148438,21.28003692626953,63.87941360473633,40.75944519042969,45.84105682373047,119.14552307128906,69.18575286865234,27.70098114013672,35.58500671386719,20.347789764404297,59.90385818481445
2016-06-30,21.763307571411133,32.595947265625,112.91976928710938,35.78099822998047,53.09479522705078,118.5083999633789,10.619705200195312,31.423851013183594,60.40774917602539,132.5169219970703,21.206308364868164,68.63346862792969,69.44755554199219,34.86732482910156,120.93964385986328,100.27818298339844,72.75850677490234,95.5423355102539,26.376346588134766,92.26104736328125,47.62517547607422,33.17473220825195,65.74604034423828,94.57428741455078,105.73184204101562,40.44964599609375,19.582069396972656,45.2408561706543,48.10067367553711,1.1524560451507568,35.24646759033203,77.99772644042969,21.401596069335938,64.45796203613281,40.774658203125,46.14806365966797,119.72208404541016,69.96356964111328,28.154741287231445,35.85774230957031,20.505037307739258,60.733154296875
2016-07-01,21.829326629638672,32.78667449951172,114.5006103515625,36.284000396728516,53.03361892700195,118.34414672851562,10.483658790588379,31.26075553894043,60.91773223876953,131.73216247558594,21.287614822387695,68.18826293945312,69.3276138305664,35.20037078857422,120.67100524902344,101.79386901855469,72.87112426757812,95.90117645263672,26.336143493652344,92.2534408569336,47.316219329833984,33.02104568481445,66.10314178466797,94.62142944335938,105.98542785644531,40.68135452270508,19.536848068237305,45.23201370239258,48.45792770385742,1.1438753604888916,35.315608978271484,77.76948547363281,21.62041664123535,64.5417251586914,40.34080123901367,46.04304122924805,119.4338607788086,70.0357437133789,27.96624755859375,35.63045120239258,20.44606590270996,60.797935485839844
2016-07-05,21.624441146850586,32.7037467956543,114.49317932128906,36.404998779296875,51.687904357910156,115.86211395263672,10.19555950164795,30.230350494384766,59.268287658691406,131.0064239501953,21.13097381591797,67.80850982666016,67.8450927734375,34.93471908569336,117.57794189453125,101.58185577392578,72.07670593261719,95.4793930053711,26.279855728149414,92.99882507324219,45.995452880859375,33.2479248046875,65.95362091064453,94.90436553955078,106.03974151611328,40.72347640991211,18.84341812133789,45.2408561706543,48.10067367553711,1.160791277885437,34.91802978515625,78.35111236572266,21.766292572021484,65.04415130615234,39.53399658203125,45.86530685424805,120.02731323242188,69.89137268066406,27.26813507080078,35.00920867919922,20.538742065429688,60.26667785644531
2016-07-06,21.747364044189453,33.856346130371094,115.8142318725586,36.88050079345703,51.976280212402344,115.85298919677734,10.29159164428711,30.437925338745117,59.62687683105469,131.64779663085938,21.421873092651367,68.46976470947266,68.10216522216797,35.136932373046875,118.49778747558594,103.32525634765625,73.07127380371094,95.91374969482422,26.513059616088867,93.28025817871094,46.489768981933594,33.130821228027344,66.51004791259766,94.80217742919922,105.7559814453125,41.53795623779297,18.956470489501953,45.426513671875,48.62348937988281,1.1681450605392456,35.0303840637207,77.98299407958984,21.79669189453125,64.7320327758789,39.86128234863281,45.849143981933594,120.7226333618164,70.11592102050781,27.365880966186523,35.34255599975586,20.729692459106445,60.95991516113281
2016-07-07,21.84071159362793,34.295814514160156,116.21499633789062,36.82849884033203,52.26464080810547,116.04460906982422,10.411632537841797,30.608413696289062,59.80216598510742,138.1368865966797,21.436790466308594,67.46807098388672,68.01647186279297,35.052188873291016,119.65354919433594,103.00328826904297,72.62716674804688,96.05851745605469,26.69801902770996,93.18136596679688,46.79100799560547,32.99909591674805,66.83390808105469,95.03011322021484,105.58088684082031,41.271141052246094,19.36349105834961,45.426513671875,48.728057861328125,1.1985441446304321,35.0303840637207,79.1388931274414,21.741981506347656,64.57977294921875,40.28752136230469,45.978416442871094,119.38297271728516,70.58902740478516,27.386821746826172,35.45620346069336,20.648252487182617,60.22780990600586
2016-07-08,22.009172439575195,34.73529815673828,119.56210327148438,37.29050064086914,53.732704162597656,118.70915985107422,10.539680480957031,31.11991310119629,61.65081787109375,139.60520935058594,21.824649810791016,68.59417724609375,69.3875732421875,35.57355880737305,122.40478515625,105.50057983398438,74.33478546142578,97.22933959960938,27.34133529663086,93.43995666503906,47.75648880004883,33.21131896972656,68.3785171508789,95.33660125732422,106.93936157226562,41.67134094238281,19.87602996826172,46.23991012573242,49.4251708984375,1.2465938329696655,35.324249267578125,79.7131576538086,21.95472526550293,65.29541015625,41.246578216552734,45.65523147583008,119.78144073486328,72.72200012207031,27.987184524536133,36.206241607666016,20.735305786132812,60.603572845458984
2016-07-11,22.07746124267578,34.92601013183594,118.87931823730469,37.68899917602539,54.318180084228516,120.48856353759766,10.57168960571289,31.3497257232666,61.99344253540039,140.68528747558594,21.951452255249023,69.00009155273438,69.40473175048828,36.0404167175293,123.87804412841797,106.1366958618164,74.1658935546875,97.77696990966797,27.646915435791016,93.50082397460938,48.09633255004883,33.350372314453125,68.76052856445312,95.87884521484375,107.47674560546875,41.664329528808594,19.943866729736328,46.49631118774414,49.52103042602539,1.2752766609191895,35.246463775634766,80.18435668945312,21.972963333129883,65.28018188476562,41.19328689575195,45.50174331665039,118.97598266601562,73.2833251953125,28.133790969848633,36.42594909667969,20.797082901000977,60.8303337097168
