Price,Close
Ticker,QQQ
Date,
2016-06-06,102.91342163085938
2016-06-07,102.65254974365234
2016-06-08,102.82962036132812
2016-06-09,102.66188049316406
2016-06-10,101.49728393554688
2016-06-13,100.64945983886719
2016-06-14,100.64945983886719
2016-06-15,100.36062622070312
2016-06-16,100.65876007080078
2016-06-17,99.47891235351562
2016-06-20,100.10482025146484
2016-06-21,100.42240905761719
2016-06-22,100.1795425415039
2016-06-23,101.60880279541016
2016-06-24,97.42375946044922
2016-06-27,95.49005126953125
2016-06-28,97.58257293701172
2016-06-29,99.31077575683594
2016-06-30,100.45979309082031
2016-07-01,100.96424102783203
2016-07-05,100.34770202636719
2016-07-06,101.16976165771484
2016-07-07,101.46867370605469
2016-07-08,103.03805541992188
2016-07-11,103.62661743164062
2016-07-12,104.14973449707031
2016-07-13,103.89750671386719
2016-07-14,104.60747528076172
2016-07-15,104.43932342529297
2016-07-18,105.13060760498047
2016-07-19,104.74757385253906
2016-07-20,105.97132873535156
2016-07-21,105.72848510742188
2016-07-22,106.16752624511719
2016-07-25,106.1768569946289
2016-07-26,106.29830932617188
2016-07-27,107.03629302978516
2016-07-28,107.40995025634766
2016-07-29,107.64350891113281
2016-08-01,108.21333312988281
2016-08-02,107.39128875732422
2016-08-03,107.74625396728516
2016-08-04,108.05452728271484
2016-08-05,109.09143829345703
2016-08-08,108.97000122070312
2016-08-09,109.22224426269531
2016-08-10,108.94194793701172
2016-08-11,109.4090576171875
2016-08-12,109.4837875366211
2016-08-15,109.95084381103516
2016-08-16,109.34366607666016
2016-08-17,109.53985595703125
2016-08-18,109.5678482055664
2016-08-19,109.53985595703125
2016-08-22,109.6239242553711
2016-08-23,109.82009887695312
2016-08-24,109.110107421875
2016-08-25,108.93264770507812
2016-08-26,109.09143829345703
2016-08-29,109.24091339111328
2016-08-30,108.88594818115234
2016-08-31,108.77384185791016
2016-09-01,109.05408477783203
2016-09-02,109.4090576171875
2016-09-06,110.09098815917969
2016-09-07,110.15637969970703
2016-09-08,109.5118179321289
2016-09-09,106.75604248046875
2016-09-12,108.67107391357422
2016-09-13,107.69953155517578
2016-09-14,108.21333312988281
2016-09-15,109.89484405517578
2016-09-16,109.84235382080078
2016-09-19,109.36477661132812
2016-09-20,109.57078552246094
2016-09-21,110.64777374267578
2016-09-22,111.52808380126953
2016-09-23,110.81632995605469
2016-09-26,109.88920593261719
2016-09-27,110.9755630493164
2016-09-28,111.16283416748047
2016-09-29,110.35746002197266
2016-09-30,111.18156433105469
2016-10-03,111.02240753173828
2016-10-04,110.85379791259766
